"Categories Data Filtered by: Selected JCR Year: 2017 Selected Editions: SCIE,SSCI",,,,,
Category,Edition,# Journals,Total Cites,Median Impact Factor,Aggregate Impact Factor
MEDICAL LABORATORY TECHNOLOGY,SCIE,30,"108,519",2.013,2.465
REMOTE SENSING,SCIE,30,"173,205",1.85,3.245
RHEUMATOLOGY,SCIE,30,"216,486",3.139,4.123
MINERALOGY,SCIE,29,"142,545",1.744,2.667
MYCOLOGY,SCIE,29,"62,587",2.571,2.556
"PHYSICS, PARTICLES & FIELDS",SCIE,29,"489,365",2.29,3.798
REPRODUCTIVE BIOLOGY,SCIE,29,"204,746",2.548,2.856
DEMOGRAPHY,SSCI,28,"37,411",1.288,1.558
ELECTROCHEMISTRY,SCIE,28,"611,640",2.492,4.427
ALLERGY,SCIE,27,"127,991",3.457,4.663
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,SCIE,27,"162,870",1.643,3.149
INDUSTRIAL RELATIONS & LABOR,SSCI,27,"32,289",1.364,1.625
INTEGRATIVE & COMPLEMENTARY MEDICINE,SCIE,27,"101,746",1.685,2.199
"MATERIALS SCIENCE, CERAMICS",SCIE,27,"151,173",0.98,2.301
CRYSTALLOGRAPHY,SCIE,26,"213,732",2.106,2.575
EMERGENCY MEDICINE,SCIE,26,"87,289",1.391,1.971
"MATERIALS SCIENCE, COMPOSITES",SCIE,26,"140,892",1.402,3.254
ROBOTICS,SCIE,26,"52,396",2.121,2.147
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,25,"100,231",1.696,1.826
MEDICAL INFORMATICS,SCIE,25,"96,990",2.098,2.634
ORNITHOLOGY,SCIE,25,"37,190",1.063,1.347
TRANSPLANTATION,SCIE,25,"174,315",2.364,3.051
CELL & TISSUE ENGINEERING,SCIE,24,"118,181",3.56,4.552
"MATERIALS SCIENCE, TEXTILES",SCIE,24,"47,893",0.689,1.822
"COMPUTER SCIENCE, CYBERNETICS",SCIE,22,"42,750",1.283,3.162
ANATOMY & MORPHOLOGY,SCIE,21,"65,760",1.4,1.805
"MATERIALS SCIENCE, PAPER & WOOD",SCIE,21,"38,720",0.764,1.422
LIMNOLOGY,SCIE,20,"107,281",1.512,2.48
LOGIC,SCIE,20,"10,336",0.532,0.622
MINING & MINERAL PROCESSING,SCIE,20,"57,849",1.26,1.949
"PHYSICS, NUCLEAR",SCIE,20,"214,672",1.903,2.333
TROPICAL MEDICINE,SCIE,20,"115,732",1.668,2.682
"ENGINEERING, PETROLEUM",SCIE,19,"29,295",0.981,1.218
"MATERIALS SCIENCE, COATINGS & FILMS",SCIE,19,"258,926",1.761,3.277
PRIMARY HEALTH CARE,SCIE,19,"44,120",1.702,1.816
SUBSTANCE ABUSE,SCIE,19,"100,840",2.425,3.109
AGRICULTURAL ECONOMICS & POLICY,SCIE,17,"24,021",1.147,1.436
ERGONOMICS,SSCI,16,"51,268",1.405,1.905
ETHNIC STUDIES,SSCI,16,"18,244",1.19,1.296
MEDICAL ETHICS,SCIE,16,"14,012",1.148,1.421
"MEDICINE, LEGAL",SCIE,16,"43,679",1.144,1.887
AGRICULTURAL ENGINEERING,SCIE,14,"166,334",1.323,3.762
"ENGINEERING, MARINE",SCIE,14,"16,789",1.01,1.681
"ENGINEERING, OCEAN",SCIE,14,"35,672",1.227,1.738
NEUROIMAGING,SCIE,14,"162,649",2.581,3.997
"PSYCHOLOGY, BIOLOGICAL",SSCI,14,"78,001",2.182,2.551
"PSYCHOLOGY, MATHEMATICAL",SSCI,13,"55,714",1.663,2.389
"PSYCHOLOGY, PSYCHOANALYSIS",SSCI,12,"8,368",0.398,0.463
MICROSCOPY,SCIE,10,"33,505",1.659,1.809
ANDROLOGY,SCIE,6,"8,410",1.785,2.234
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SSCI,6,"17,898",1.984,2.124
TRANSPORTATION,SCIE,1,"3,220",0.983,0.983
